source_row,botanical_name,part_used,season,ferment_safety,use_type,functions,form_in_system,micronutrients,notes,ayurvedic_profile,tcm_meridians,tcm_nature_flavour,archetype_animal,scientific_actions,synergy_tags,element_planet,permaculture_guild,biodynamic_timing,soil_type,growing_conditions,foraging_habitat
62,Wild Garlic (Ramsons),Leaf,Mar;Apr;May;,Secondary only,Edible;Aromatic,Antibacterial;Digestive,Fresh,Sulphur compounds;Vit C,Very strong; best as food or late 2F savoury experiment,Kapha-↓;Vata-↑ if raw;Pitta-↑ in excess,Lung;Stomach,Warm;Pungent;Aromatic,Boar;Dog,Antimicrobial;circulation-stimulating,Savoury Experiments;Immune;Spring Cleanse,Fire;Mars,Woodland herb;groundcover,Leaf Day;Waxing Moon;Ascending Moon;Moon in Aries,Moist;Rich;Woodland,Shade;Damp woodland,Woodland floors;along streams
63,Chickweed,Leaf,Dec–Apr,Primary OK,Tea;Fresh,Skin;Cooling;Gentle,Fresh;Dried,Vit C;Minerals,Very safe,Pitta-↓,Lung;Stomach,Cool;Mild,Mouse;Robin,Anti-inflammatory,Skin;Gentle,Water;Moon,Winter edible,Leaf Day;Waxing,Moist;Loam,Shade/Partial,Lawns
64,Oregano (Wild Marjoram),Leaf,Jun;Jul;Aug;Sep;Oct;,Secondary only,Aromatic,Antimicrobial;Digestive,Fresh;Dried,Volatile oils (carvacrol etc.),Potent; great in extracts; harsh in primary,Kapha-↓;Vata-grounding;Pitta-↑,Lung;Stomach,Warm;Pungent;Aromatic,Fox;Lynx,Strong antimicrobial;carminative,Respiratory;Savoury Extracts;Strong Bitters,Fire;Mars,Meadow/herb slope,Leaf Day;Waxing Moon;Ascending Moon;Moon in Leo,Dry;Calcareous;Loam,Full Sun,Sunny banks;meadows;herb beds
65,Heather Flower,Flower,Jul;Aug;Sep,Secondary only,Tea;Aromatic,Calm;Kidney support,Dried,Tannins;Trace minerals,Slightly tannic; lovely aroma,Vata-soothing;Kapha-↓,Kidney;Liver,Warm;Bitter-sweet;Aromatic,Stag;Fox,Mild sedative;anti-inflammatory,Calm;Night;Kidney/Urinary,Earth;Saturn,Heathland plant,Flower Day;Waning Moon;Descending Moon;Moon in Capricorn,Acidic;Peaty,Full Sun,Heath;moorland
66,Meadowsweet Flower,Flower,Jun;Jul;,Secondary only,Aromatic;Tea,Digestive;Anti-inflammatory,Dried;Hydrosol,Trace Vit C;Salicylates,Contains natural salicylates,Pitta-↓;Kapha-↓;Vata-neutral,Stomach;Spleen,Cool;Aromatic;Slightly bitter,Deer;Goat,Anti-inflammatory;gastric-soothing,Digestive;Anti-Acid;Joint Support,Water;Venus,Wet meadows;Pollinator,Flower Day;Waning Moon;Descending Moon;Moon in Pisces,Moist;Boggy;Rich,Meadows;River edges,Damp meadows
67,Valerian Root,Root,Aug;Sep,Secondary only,Sleep;Calm,Sedative;Nervous system,Dried;Tincture,Valerenic acids,Strong odour,Vata-↓,Heart;Liver,Warm;Pungent;bitter,Cat;Bat,Sedative;anxiolytic,Sleep;Night,Water;Moon,Damp soils,Root Day;Waning,Moist;Loam,Shade;Partial,Damp woods
68,Ground Ivy,Leaf,Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Jan;Feb,Secondary only,Aromatic;Tea,Respiratory clearing;Mild bitter,Fresh;Dried,Vit C;Volatile oils,"Strong aromatic; use in small amounts, best in 2F or tincture",Pitta-↓;Kapha-↓;Vata-neutral,Lung;Liver,Cool;Aromatic;Slightly bitter,Fox;Weasel,Expectorant;digestive;antimicrobial,Respiratory;Light Bitters;Aromatic 2F,Air;Mercury,Groundcover under hedges,Leaf Day;Waning Moon;Ascending Moon;Moon in Gemini,Moist;Hedgerow;Loam,Partial Shade;Shade,Hedges;woodland edges;banks
69,Ginger (wild or garden),Rhizome,Year-round (cultivated),Secondary only,Tea;Decoction;Extract,Anti-inflammatory;Circulation,Fresh;Dried;Powder,Gingerols;Minerals,Potent ferment activator,Kapha-↓;Vata-neutral,Lung;Spleen,Warm;Pungent,Tiger;Dragon,Anti-inflammatory;circulation,Warmth;Energy;Digestive,Fire;Mars,Garden beds,Root Day;Waxing,Loam;Rich,Sun,Cultivated
70,Gorse Flower,Flower,Feb;Mar;Apr;May,Primary OK,Tea;Aromatic,Mood;Light stimulant,Fresh;Dried,Trace minerals,Coconut-like aroma,Kapha-↓;Vata-neutral,Heart;Liver,Warm;Aromatic;Sweet,Lion;Phoenix,Mild mood-lifting;aromatic,Mood;Spring;Aromatic Teas,Fire;Sun,Heathland shrub,Flower Day;Waxing Moon;Ascending Moon;Moon in Leo,Acidic;Dry,Full Sun,Heath;moor;coastal
71,Hawthorn Leaf,Leaf,Apr;May;,Primary OK,Tea;Tonic,Heart;Circulation;Mild calm,Fresh;Dried,Flavonoids;Vit C,Gentle heart tonic; often paired with flower/berry,Vata-soothing;Pitta-neutral;Kapha-neutral,Heart;Pericardium,Neutral;Green;Slightly bitter,Horse;Dog,Mild cardiotonic;vascular support,Heart/Circulation;Long-Term Tonic,Air;Sun,Hedgerow shrub;Wildlife,Leaf Day;Waxing Moon;Ascending Moon;Moon in Leo,Chalk;Loam;Hedgerow,Full Sun;Hedge,Hedgerows;field boundaries
72,Sweet Cicely,Leaf,Apr;May,Primary OK,Tea;Sweetener,Digestive;Calming,Fresh;Dried,Anethole,Mild sweetness,Vata-↓,Lung;Stomach,Warm;Sweet-aromatic,Hare;Doe,Digestive;calming,Sweet blends;Floral,Air;Venus,Woodland companion,Leaf Day;Waxing,Moist;Loam,Partial Shade,Wood edges
73,Plantain Leaf (Ribwort/Broadleaf),Leaf,Mar;Apr;May;Sep;Oct;Nov;Dec;Jan;Feb;,Primary OK,Tea;Topical,Anti-inflammatory;Skin;Mucosal soothing,Fresh;Dried;Poultice,Vit C;Minerals,Excellent “first aid leaf”; draws and calms,Vata-soothing;Pitta-↓;Kapha-↓,Lung;Skin;Stomach,Cool;Slightly bitter;Slightly salty,Dog;Pig,Vulnerary;anti-inflammatory;mucosal-soothing,Skin/Topical;Respiratory;Calm Gut,Earth;Moon,Lawn herb;Pathway survivor,Leaf Day;Waning Moon;Descending Moon;Moon in Cancer,Compacted;Loam;Poor soils,Full Sun;Paths;Edges,Lawns;tracks;walkways;field margins
74,Rosemary,Leaf,Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;,Secondary only,Aromatic,Circulation;Cognitive;Antioxidant,Fresh;Dried,Volatile oils;Rosmarinic acid,Very resinous; better as extract or tiny 2F,Kapha-↓;Vata-grounding;Pitta-↑,Heart;Liver,Warm;Pungent;Aromatic;Slightly bitter,Stag;Ram,Circulatory stimulant;antioxidant;memory support,Pre-Sport (Circulation);Cognitive;Savoury 2F,Fire;Sun,Evergreen shrub;Pollinator,Leaf Day;Waxing Moon;Ascending Moon;Moon in Leo,Dry;Well-drained;Mediterranean,Full Sun,Gardens;hedges;pots
75,Angelica Seed,Seed,Aug;Sep,Secondary only,Aromatic;Bitter,Digestive;Circulation,Whole;Dried,Volatile oils,Very aromatic,Kapha-↓,Lung;Spleen,Warm;pungent,Hawk;Swan,Carminative;warming,Digestive;Bitters,Fire;Sun,Woodland,Seed Day;Waning,Moist;Loam,Partial Sun,Woods
76,Sheep Sorrel,Leaf,Apr;May,Primary OK,Tea;Raw,Digestive;Cooling,Fresh;Dried,Vit C,Small leaves; tart,Pitta-↓,Liver,Cool;Sour,Hare;Mouse,Digestive;astringent,Spring;Cooling,Water;Moon,Meadow,Leaf Day;Waxing,Acidic;Meadow,Sun,Meadows
77,,,,,,,,,,,,,,,,,,,,,
78,Sage,Leaf,May;Jun;Jul;Aug;Sep;Oct;Nov;,Secondary only,Aromatic;Tea,Antimicrobial;Hormonal support;Digestive,Fresh;Dried,Volatile oils;Rosmarinic acid,Strong; best as extract or small 2F addition,Kapha-↓;Pitta-↑ in excess;Vata-grounding,Lung;Spleen;Liver,Warm;Aromatic;Bitter,Owl;Fox,Antimicrobial;astringent;anti-sweat,Respiratory;Menopause/Hormonal;Digestive Bitters,Fire;Jupiter,Shrub herb;Dry bed,Leaf Day;Waning Moon;Ascending Moon;Moon in Sagittarius,Chalk;Dry;Well-drained,Full Sun,Herb gardens;dry borders
79,Chamomile (German),Flower,Jun;Jul;Aug;,Primary OK,Tea;Calm,Sleep;Anxiety;Digestive,Dried;Fresh,Matricine;Apigenin,SCOBY-safe; iconic calm tea,Vata-↓;Pitta-↓;Kapha-neutral,Stomach;Heart,Warm-neutral;Sweet-bitter,Lamb;Rabbit,Anxiolytic;spasmolytic;digestive relaxant,Calm;Sleep;Children’s blends,Air;Sun,Pollinator plant;Herb bed,Flower Day;Waning Moon;Descending Moon;Moon in Cancer,Loam;Garden,Full Sun,Meadows;gardens
80,Plantain (narrowleaf),Leaf,Mar–Nov,Primary OK,Tea;Poultice,Skin;Respiratory,Fresh;Dried,Silica;Vit A,Very safe,Pitta-neutral;Vata-↓,Lung;Liver,Cool;Astringent,Horse;Falcon,Anti-inflammatory;skin healer,Skin;Throat,Earth;Saturn,Soil restorer,Leaf Day;Waxing,Poor;Loam,Sun/Partial,Everywhere
81,Fennel Seed,Seed,Aug;Sep,Primary OK,Tea;Digestive,Carminative;Relaxant,Whole;Ground,Anethole;Fiber,SCOBY-safe,Vata-↓,Spleen;Lung,Warm;Sweet-aromatic,Doe;Hare,Carminative;digestive,Digestive;Calm,Fire;Mercury,Umbellifer companion,Seed Day;Waxing,Loam;Dry,Sun,Gardens
82,Meadowsweet Leaf,Leaf,Apr;May,Secondary only,Aromatic,Digestive;Anti-inflammatory,Fresh;Dried,Trace minerals,Contains salicylates,Pitta-↓,Stomach;Liver,Cool;Aromatic,Deer;Goat,Anti-inflammatory;gastric support,Digestive;Cooler,Water;Venus,Bog/meadow,Leaf Day;Waning,Moist;Meadow,Sun,Meadows
83,Lavender,Flower,Jul;Aug,Secondary only,Tea;Aromatic,Calm;Sleep,Dried;Fresh,Linalool,Potent aromatic,Vata-↓,Heart;Liver,Cool;Aromatic,Deer;Bee,Sedative;calming,Calm;Night;Aromatic,Air;Mercury,Pollinator,Flower Day;Waxing,Dry;Loam,Sun,Gardens
84,Horseradish,Root,Nov;Dec;Jan,Secondary only,Pungent;Culinary,Sinus;Circulation,Fresh;Grated;Fermented,Vitamin C;Sulphur compounds,Very pungent,Kapha-↓,Lung;Stomach,Hot;Pungent,Boar;Ox,Antimicrobial;sinus-clearing,Circulation;Winter,Fire;Mars,Old gardens,Root Day;Waning,Loam;Moist,Sun,Gardens
85,Blackberry Leaf,Leaf,Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;,Primary OK,Tea;Tonic,Astringent;Gut support,Dried,Tannins;Vit C,Tannic; excellent for diarrhoea or gut-tightening blends,Pitta-neutral;Kapha-↓;Vata-neutral,Large Intestine;Lung,Cool;Astringent;Slightly bitter,Bear;Fox,Astringent;anti-diarrhoeal;anti-inflammatory,Gut Repair;Astringent Blends;Tonic Tea Base,Earth;Saturn,Bramble thickets;hedgerows,Leaf Day;Waning Moon;Descending Moon;Moon in Capricorn,Any;Hedgerow;Disturbed,Full Sun;Partial Shade,Hedges;scrub;edges;fence lines
86,Coriander Seed,Seed,Jul;Aug,Primary OK,Tea;Digestive,Cooling digestive,Whole;Ground,Linalool,Mild aromatic,Pitta-↓,Stomach;Liver,Cool;Sweet-aromatic,Bird;Fox,Digestive;calming,Cooling;Digestive,Water;Moon,Companion plant,Seed Day;Waxing,Loam,Sun,Gardens
87,Thyme,Leaf,May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Jan;Feb;,Secondary only,Aromatic;Tea,Respiratory;Antimicrobial;Digestive,Fresh;Dried,Volatile oils (thymol etc.),Very strong; small amounts in 2F or syrups,Kapha-↓;Vata-grounding;Pitta-↑ if heavy,Lung;Stomach,Warm;Pungent;Aromatic,Wolf;Hound,Antimicrobial;expectorant;spasmolytic,Respiratory;Winter Syrups;Savoury 2F,Fire;Mars,Rock/herb garden plant,Leaf Day;Waxing Moon;Ascending Moon;Moon in Aries,Well-drained;Gravel;Chalk,Full Sun,Gardens;walls;dry slopes
88,Yarrow Flower,Flower,Jun;Jul;Aug,Secondary only,Tea;Bitter,Immune;Circulation;Digestive,Dried,Flavonoids;Bitters,Bitter + aromatic; use sparingly,Pitta-↓;Kapha-↓;Vata-↑,Liver;Spleen;Lung,Cool;Bitter;Aromatic,Wolf;Fox,Diaphoretic;hemostatic;digestive,Immune;Bitters;Circulation,Air;Mars,Meadow herb,Flower Day;Waning Moon;Ascending Moon;Moon in Aries,Meadows;Dry soils,Full Sun,Meadows;verges
89,Wood Sorrel,Leaf,Apr;May;Jun,Primary OK,Tea;Raw;Cooler,Cooling;Sour,Fresh,Vit C,High oxalate; mild,Pitta-↓,Liver;Stomach,Cool;Sour,Deer;Mouse,Cooling;digestive,Sour;Cooling;Spring,Water;Moon,Woodland edge,Leaf Day;Waxing,Acidic;Woodland,Shade,Woods
